Question;Kategori
apakah sudah tersedia analisa HSSE dan amdal? ;Commitment to Follow Through
apakah sudah dilaksanakan evaluasi keekonomian? (IRR > 10%) ;Commitment to Follow Through
apakah sudah memiliki pattern design? ;Commitment to Follow Through
apakah telah membuat program monitoring dan surveillance?;Commitment to Follow Through
bagaimana kondisi operasional saat ini (kondisi sumur, fasilitas produksi, dan sumber media EOR?;Commitment to Follow Through
apakah project telah mendapat persetujuan dari pihak-pihak terkait? (Mulai dari pengadaan barang sampai monitoring dan surveillance) ;Commitment to Follow Through
apakah terdapat dana yang teralokasi khusus unutuk kegiatan EOR? ;Commitment to Follow Through
apakah ada sumber daya manusia yang capable dibidang EOR? ;Commitment to Follow Through
apakah sudah melalui uji laboratorium yang baik? (IRF > 10%) ;Commitment to Follow Through
apakah baseline sudah dibuat dan disepekati semua pihak? ;Commitment to Follow Through
apakah sudah memiliki program abandomant and site restoration? ;Commitment to Follow Through
apakah sudah membuat project schedule? ;Commitment to Follow Through
apakah sudah memiliki model GGRPF?;Commitment to Follow Through
apakah sudah membuat forecast produksi?;Commitment to Follow Through
Apakah jelas latar belakang, isi dan tujuan usulan?;Helpful Frame
Seberapa besar pengetahuan dari stakeholder terhadap usulan?;Helpful Frame
Seberapa besar prioritas dari usulan?;Clear Value
Seberapa besar pengaruh ke anggaran dari usulan?;Clear Value
Apakah ada kemungkinan alternative lain dari usulan?;Creative Alternatives
Apakah dari usulan ada opsi yang bias dikurangi/efisien?;Creative Alternatives
Apakah usulan Realistik dan bias dilaksanakan sesuai waktu?;Creative Alternatives
Bila usulan diterima, apa yang bias didapat untuk menguntungkan PTM?;Clear Value
Seberapa lengkap dari usulan yang harus disampaikan?;Useful Information
Seberapa yakin dari sumber informasi/teknologi usulan?;Useful Information
Seberapa jelas usulan dari kebutuhan dan fakta kegunaannya?;Clear Value
Seberapa jauh dapat diindentifikasi dan diklarifikasi kriteria usulan yang paling penting?;Clear Value
Seberapa baik kriteria usulan dalam prioritas yang mencerminkan Keuntungan internal PTM?;Clear Value
Seberapa komprehensif kriteria untuk mengukur kesuksesan dalam tujuan proyek dan keuntungan PTM?;Clear Value
Seberapa lengkap dan komprehensif dari riset, logic dan temuan dari usulan?;Sound Reasoning
Seberapa jelas dapat dijelaskan dari pilihan opsi dari opsi usulan yang diusulkan?;Sound Reasoning
Seberapa lengkap dari organisasi yang mengevaluasi usulan ini?;Commitment to Follow Through
Seberapa yakin hasil yang didapat dari usulan?;Commitment to Follow Through
Apakah PTM siap dari sisi resource untuk melaksanakan usulan ini?;Commitment to Follow Through
Seberapa jauh PTM terlewatkan dari substantive analisis yang berpengaruh terhadap kualitas usulan?;Clear Value
